cell_type,mean,median,std
Luminal Epithelial Cells,1.186710227126176,1.1590103408076167,0.22390584576959902
Mesothelial Cells,1.1837196953321911,1.1994952747591863,0.16744938501323084
Fibroblasts: Clec3b+ (outer/basal),1.1428707373606135,1.1394252696597373,0.10819171756730271
Inner Fibroblast Cells,1.0891462140546828,1.0735831792034192,0.10061948832516386
Fibroblast Cells,1.0835677153355587,1.0684140813824066,0.10628827156129877
Perivascular/Mural Cells,1.0535759705927885,1.050738698685956,0.09799606208771075
Glandular Epithelial Cells,1.0457553983220638,1.0286064588236494,0.10874694882711218
Myometrium: Smooth Muscle Cells,1.0454920706497732,1.0406982709889578,0.07808918975168226
Myometrium: Perivascular/Muscle Cells,1.037772660218508,1.0491439440143517,0.09892545525639392
Macrophage Cells,0.9903487069283681,0.9740308374321428,0.11626864417451173
Vascular Endothelial Cells,0.9799648324234377,0.9629858191828015,0.09971440524253494
Inconclusive,0.9622628646531776,0.9219400914900987,0.12543694360157315
Lymphatic Endothelial Cells,0.9496147645853368,0.9156759140260029,0.10840532982437767
Dendritic Monocyte Cells,0.9233843420665173,0.9083861419972064,0.06415272624339034
Ignore,0.9192472466402188,0.8890550618548742,0.10345264435183919
Natural Killer Cells,0.9191551331215947,0.8940329439634636,0.07943216199288264
Epithelial Cells,0.9121715039292374,0.8884782590279439,0.09186048133742834
T Cells,0.8978933284788584,0.8875973495724206,0.04306943466290257
Immune Cells,0.867335555208337,0.8495503231032965,0.08766272401396778
